"filename", "language", "Dart", "comment", "blank", "total"
"d:\Projects\study247\lib\features\room_background\widgets\room_background_box.dart", "Dart", 152, 1, 9, 162
"d:\Projects\study247\lib\features\session_goals\controllers\session_goals_controller.dart", "Dart", 28, 0, 7, 35
"d:\Projects\study247\lib\features\session_goals\widgets\session_goal_widget.dart", "Dart", 57, 0, 3, 60
"d:\Projects\study247\lib\features\session_goals\widgets\session_goals_box.dart", "Dart", 91, 0, 8, 99
"d:\Projects\study247\lib\features\session_goals\widgets\session_goals_tab.dart", "Dart", 69, 0, 5, 74
"d:\Projects\study247\lib\features\timer\notifiers\personal_timer.dart", "Dart", 117, 13, 26, 156
"d:\Projects\study247\lib\features\timer\notifiers\room_timer.dart", "Dart", 120, 12, 27, 159
"d:\Projects\study247\lib\features\timer\providers\timer_type.dart", "Dart", 3, 0, 3, 6
"d:\Projects\study247\lib\features\timer\repositories\room_timer_repository.dart", "Dart", 28, 0, 7, 35
"d:\Projects\study247\lib\features\timer\widgets\personal_timer_box.dart", "Dart", 210, 1, 15, 226
"d:\Projects\study247\lib\features\timer\widgets\room_timer_box.dart", "Dart", 88, 1, 6, 95
"d:\Projects\study247\lib\features\timer\widgets\timer_tab.dart", "Dart", 86, 0, 6, 92
"d:\Projects\study247\lib\firebase_options.dart", "Dart", 59, 12, 5, 76
"d:\Projects\study247\lib\main.dart", "Dart", 20, 0, 4, 24
"d:\Projects\study247\lib\router\authenticated_router.dart", "Dart", 29, 0, 2, 31
"d:\Projects\study247\lib\router\unauthenticated_router.dart", "Dart", 17, 0, 2, 19
"d:\Projects\study247\lib\utils\format_date.dart", "Dart", 18, 0, 3, 21
"d:\Projects\study247\lib\utils\format_time.dart", "Dart", 8, 0, 2, 10
"d:\Projects\study247\lib\utils\hide_scroll_bar.dart", "Dart", 12, 0, 3, 15
"d:\Projects\study247\lib\utils\show_snack_bar.dart", "Dart", 5, 0, 2, 7
"d:\Projects\study247\lib\utils\unfocus.dart", "Dart", 13, 0, 3, 16
"d:\Projects\study247\lib\utils\youtube.dart", "Dart", 17, 0, 4, 21
"Total", "-", 6837, 115, 721, 7673
